,credit_utilization,repayment_score,dpd_15p,dpd_30p,dpd_45p,dpd_60p,dpd_90p,weighted_avg_dpd,dpd_trend,high_risk,watchlist,tier,tier_description,recommended_action
24533535,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
24397101,10.936363636363636,598,False,False,False,False,False,1.0,1.0,True,False,P1,Usage decline or slight delays,Follow-up
46873734,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
24991781,60.503879999999995,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
29993660,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
20823577,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26853660,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
19131904,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21732379,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28309783,30.651296296296298,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
29197153,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28547565,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
45997805,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
29660854,92.99714285714286,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
25559195,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
24913447,24.50215,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
18165404,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
19303168,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27866324,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28328355,69.07272727272728,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27644635,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26528596,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
19700168,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
23575892,44.000299999999996,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21274498,79.4261818181818,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
48384423,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22968965,20.784875,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
27004918,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
21333954,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
48716652,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
24431244,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
28270722,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
24927493,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
44375053,7.1198,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
22359571,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
26916932,100.0,600,False,False,False,False,False,0.0,0.0,True,False,P1,Usage decline or slight delays,Follow-up
